x,y,WE_sr_hum_obs_sampbias_corrected,CWE_sr_hum_obs_sampbias_corrected,richness_sr_hum_obs_sampbias_corrected,WE_perc,CWE_perc,rich_perc
130.92840019289866,-12.383631642181033,0.07949312776327133,0.07949312776327133,0.15898625552654266,FALSE,FALSE,FALSE
131.12337462632166,-12.529862467248263,0.09059092402458191,0.09059092402458191,0.18118184804916382,FALSE,FALSE,FALSE
131.02588740961016,-12.578606075604007,0.08620931953191757,0.08620931953191757,0.17241863906383514,FALSE,FALSE,FALSE
131.26960545138888,-12.578606075604007,0.09983175247907639,0.09983175247907639,0.19966350495815277,FALSE,FALSE,FALSE
143.3092767152575,-12.676093292315493,0.9485936164855957,0.9485936164855957,0.9485936164855957,TRUE,TRUE,TRUE
145.35650826619874,-16.42935113570774,0.12272495031356812,0.12272495031356812,0.24544990062713623,FALSE,TRUE,FALSE
145.60022630797744,-16.81930000255369,0.1465979665517807,0.1465979665517807,0.1465979665517807,TRUE,TRUE,FALSE
145.64896991633321,-16.81930000255369,0.13990843296051025,0.13990843296051025,0.13990843296051025,TRUE,TRUE,FALSE
145.7464571330447,-17.014274435976663,0.338289350271225,0.11276311427354813,0.4059472382068634,TRUE,FALSE,FALSE
145.84394434975616,-17.306736086111123,0.17108048498630524,0.17108048498630524,0.17108048498630524,TRUE,TRUE,FALSE
145.4052518745545,-17.599197736245586,0.12624406814575195,0.12624406814575195,0.2524881362915039,TRUE,TRUE,FALSE
145.50273909126597,-17.891659386380045,0.37056103348731995,0.37056103348731995,0.37056103348731995,TRUE,TRUE,FALSE
146.7700729085153,-19.305224028696607,0.07147733867168427,0.07147733867168427,0.14295467734336853,FALSE,FALSE,FALSE
148.52484280932205,-21.108737537859113,0.19326035678386688,0.19326035678386688,0.38652071356773376,TRUE,TRUE,FALSE
150.7183051853305,-23.009738263733112,0.10652177780866623,0.10652177780866623,0.21304355561733246,FALSE,FALSE,FALSE
148.28112476754336,-25.05696981467434,0.7061786651611328,0.7061786651611328,0.7061786651611328,TRUE,TRUE,TRUE
152.61930591120452,-26.22681641521218,0.09855332225561142,0.09855332225561142,0.19710664451122284,FALSE,FALSE,FALSE
152.61930591120452,-26.324303631923666,0.38731926679611206,0.19365963339805603,0.38731926679611206,TRUE,TRUE,FALSE
152.91176756133896,-26.762996107125357,0.19356481730937958,0.10156354308128357,0.2644612789154053,TRUE,FALSE,FALSE
152.9605111696947,-26.811739715481103,0.0666862279176712,0.0666862279176712,0.1333724558353424,FALSE,FALSE,FALSE
120.54601161312532,-26.90922693219259,0.7826433181762695,0.7826433181762695,0.7826433181762695,TRUE,TRUE,TRUE
152.66804951956027,-27.299175799038537,0.07413240522146225,0.07413240522146225,0.1482648104429245,FALSE,FALSE,FALSE
152.76553673627174,-27.299175799038537,0.39422693848609924,0.13140897452831268,0.39422693848609924,TRUE,TRUE,FALSE
152.8142803446275,-27.34791940739428,0.22740188241004944,0.13041512668132782,0.22740188241004944,TRUE,TRUE,FALSE
152.8142803446275,-27.396663015750022,0.08969759941101074,0.08415338397026062,0.1338086724281311,FALSE,FALSE,FALSE
153.20422921147343,-27.542893840817253,0.10536136478185654,0.10536136478185654,0.10536136478185654,FALSE,FALSE,FALSE
151.98563900257983,-27.591637449172996,0.07377351820468903,0.07377351820468903,0.14754703640937805,FALSE,FALSE,FALSE
152.03438261093558,-27.591637449172996,0.07377351820468903,0.07377351820468903,0.14754703640937805,FALSE,FALSE,FALSE
153.20422921147343,-27.88409909930746,0.05870429798960686,0.05870429798960686,0.11740859597921371,FALSE,FALSE,FALSE
153.10674199476193,-28.17656074944192,0.14604808390140533,0.14604808390140533,0.14604808390140533,TRUE,TRUE,FALSE
151.7906645691569,-30.077561475315914,0.145656555891037,0.145656555891037,0.291313111782074,TRUE,TRUE,FALSE
153.15548560311768,-30.12630508367166,0.09763768315315247,0.09763768315315247,0.19527536630630493,FALSE,FALSE,FALSE
150.18212549341735,-30.223792300383145,0.3538081645965576,0.3538081645965576,0.3538081645965576,TRUE,TRUE,FALSE
152.8630239529832,-30.370023125450377,0.23372405767440796,0.23372405767440796,0.23372405767440796,TRUE,TRUE,FALSE
152.42433147778155,-31.14992085914227,0.30527710914611816,0.30527710914611816,0.30527710914611816,TRUE,TRUE,FALSE
115.57416356083948,-31.344895292565244,0.09090586751699448,0.09090586751699448,0.18181173503398895,FALSE,FALSE,FALSE
116.25657407781989,-31.442382509276733,0.09931651502847672,0.09931651502847672,0.19863303005695343,FALSE,FALSE,FALSE
116.01285603604117,-31.58861333434396,0.07311868667602539,0.07311868667602539,0.14623737335205078,FALSE,FALSE,FALSE
116.06159964439692,-31.58861333434396,0.07311868667602539,0.07311868667602539,0.14623737335205078,FALSE,FALSE,FALSE
151.54694652737817,-31.783587767766935,0.3383238911628723,0.3383238911628723,0.3383238911628723,TRUE,TRUE,FALSE
116.11034325275267,-31.881074984478424,0.18915383517742157,0.09457691758871078,0.25220513343811035,TRUE,FALSE,FALSE
141.505763206095,-31.97856220118991,0.17349030077457428,0.17349030077457428,0.17349030077457428,TRUE,TRUE,FALSE
138.04496701283722,-32.51474189310309,0,0,0.3285309374332428,FALSE,FALSE,FALSE
138.04496701283722,-32.56348550145883,0,0,0.317247599363327,FALSE,FALSE,FALSE
138.04496701283722,-32.61222910981458,0,0,0.30977267026901245,FALSE,FALSE,FALSE
116.06159964439692,-32.66097271817032,0,0,0.17632080614566803,FALSE,FALSE,FALSE
116.11034325275267,-32.66097271817032,0,0,0.18442320823669434,FALSE,FALSE,FALSE
